Date,Open,High,Low,Close,Adj Close,Volume
2003-09-03,615.000000,675.000000,605.000000,675.000000,383.379364,43162500
2003-09-04,690.000000,750.000000,675.000000,685.000000,389.058990,82850000
2003-09-05,685.000000,700.000000,680.000000,690.000000,391.898865,24055000
2003-09-08,690.000000,690.000000,665.000000,680.000000,386.219055,18007500
2003-09-09,680.000000,680.000000,660.000000,665.000000,377.699646,14075000
2003-09-10,660.000000,660.000000,640.000000,640.000000,363.500427,14190000
2003-09-11,640.000000,645.000000,640.000000,640.000000,363.500427,7087500
2003-09-12,645.000000,670.000000,645.000000,660.000000,374.859863,15392500
2003-09-15,660.000000,665.000000,645.000000,650.000000,369.180145,9137500
2003-09-16,655.000000,665.000000,655.000000,665.000000,377.699646,8705000
2003-09-17,670.000000,670.000000,660.000000,665.000000,377.699646,8890000
2003-09-18,660.000000,660.000000,655.000000,660.000000,374.859863,5075000
2003-09-19,660.000000,660.000000,660.000000,660.000000,374.859863,1787500
2003-09-22,660.000000,660.000000,660.000000,660.000000,374.859863,0
2003-09-23,660.000000,665.000000,655.000000,660.000000,374.859863,7242500
2003-09-24,665.000000,665.000000,665.000000,665.000000,377.699646,5100000
2003-09-25,665.000000,680.000000,665.000000,670.000000,380.539429,13552500
2003-09-26,670.000000,670.000000,660.000000,665.000000,377.699646,9102500
2003-09-29,665.000000,665.000000,655.000000,660.000000,374.859863,2212500
2003-09-30,665.000000,675.000000,665.000000,670.000000,380.539429,14197500
2003-10-01,670.000000,675.000000,665.000000,665.000000,377.699646,2340000
2003-10-02,670.000000,670.000000,665.000000,670.000000,380.539429,16442500
2003-10-03,670.000000,670.000000,665.000000,665.000000,377.699646,12162500
2003-10-06,665.000000,665.000000,660.000000,660.000000,374.859863,13135000
2003-10-07,665.000000,665.000000,660.000000,665.000000,377.699646,7335000
2003-10-08,665.000000,665.000000,660.000000,660.000000,374.859863,15170000
2003-10-09,660.000000,660.000000,660.000000,660.000000,374.859863,17857500
2003-10-10,665.000000,665.000000,655.000000,655.000000,372.019958,6077500
2003-10-13,660.000000,660.000000,655.000000,660.000000,374.859863,1145000
2003-10-14,660.000000,665.000000,660.000000,660.000000,374.859863,9725000
2003-10-15,660.000000,660.000000,650.000000,650.000000,369.180145,12750000
2003-10-16,655.000000,655.000000,650.000000,650.000000,369.180145,7362500
2003-10-17,655.000000,655.000000,650.000000,655.000000,372.019958,11207500
2003-10-20,655.000000,655.000000,650.000000,650.000000,369.180145,8195000
2003-10-21,650.000000,650.000000,650.000000,650.000000,369.180145,7077500
2003-10-22,650.000000,650.000000,640.000000,640.000000,363.500427,8332500
2003-10-23,640.000000,640.000000,620.000000,620.000000,352.141052,18522500
2003-10-24,630.000000,650.000000,630.000000,645.000000,366.340271,4672500
2003-10-27,645.000000,650.000000,640.000000,645.000000,366.340271,6855000
2003-10-28,650.000000,655.000000,640.000000,645.000000,366.340271,11830000
2003-10-29,640.000000,640.000000,630.000000,635.000000,360.660614,7225000
2003-10-30,635.000000,635.000000,620.000000,625.000000,354.980835,6600000
2003-10-31,625.000000,645.000000,625.000000,645.000000,366.340271,21720000
2003-11-03,640.000000,640.000000,635.000000,640.000000,363.500427,4307500
2003-11-04,640.000000,655.000000,640.000000,650.000000,369.180145,14200000
2003-11-05,650.000000,650.000000,640.000000,640.000000,363.500427,6282500
2003-11-06,640.000000,645.000000,640.000000,645.000000,366.340271,4260000
2003-11-07,645.000000,650.000000,645.000000,650.000000,369.180145,10940000
2003-11-10,645.000000,660.000000,645.000000,660.000000,374.859863,8895000
2003-11-11,655.000000,660.000000,650.000000,660.000000,374.859863,13595000
2003-11-12,660.000000,665.000000,655.000000,655.000000,372.019958,12485000
2003-11-13,645.000000,645.000000,640.000000,645.000000,374.341431,9012500
2003-11-14,640.000000,645.000000,640.000000,640.000000,371.439636,2102500
2003-11-17,640.000000,640.000000,635.000000,635.000000,368.537689,4522500
2003-11-18,630.000000,635.000000,630.000000,635.000000,368.537689,3337500
2003-11-19,630.000000,630.000000,625.000000,630.000000,365.635895,6865000
2003-11-20,625.000000,630.000000,625.000000,630.000000,365.635895,5892500
2003-11-21,635.000000,635.000000,635.000000,635.000000,368.537689,4890000
2003-11-24,635.000000,635.000000,635.000000,635.000000,368.537689,0
2003-11-25,635.000000,635.000000,635.000000,635.000000,368.537689,0
2003-11-26,635.000000,635.000000,635.000000,635.000000,368.537689,0
2003-11-27,635.000000,635.000000,635.000000,635.000000,368.537689,0
2003-11-28,635.000000,635.000000,635.000000,635.000000,368.537689,0
2003-12-01,640.000000,685.000000,640.000000,685.000000,397.556427,56602500
2003-12-02,690.000000,695.000000,665.000000,670.000000,388.850952,38365000
2003-12-03,670.000000,675.000000,670.000000,670.000000,388.850952,11140000
2003-12-04,670.000000,670.000000,660.000000,665.000000,385.948975,2682500
2003-12-05,665.000000,665.000000,655.000000,655.000000,380.145142,5652500
2003-12-08,655.000000,660.000000,655.000000,655.000000,380.145142,6912500
2003-12-09,660.000000,665.000000,650.000000,650.000000,377.243378,14847500
2003-12-10,655.000000,655.000000,650.000000,650.000000,377.243378,6752500
2003-12-11,655.000000,655.000000,650.000000,655.000000,380.145142,4812500
2003-12-12,655.000000,655.000000,650.000000,650.000000,377.243378,1580000
2003-12-15,650.000000,650.000000,650.000000,650.000000,377.243378,9632500
2003-12-16,650.000000,665.000000,650.000000,660.000000,383.047119,28475000
2003-12-17,660.000000,660.000000,655.000000,655.000000,380.145142,8635000
2003-12-18,660.000000,680.000000,660.000000,670.000000,388.850952,34120000
2003-12-19,680.000000,690.000000,680.000000,685.000000,397.556427,31952500
2003-12-22,685.000000,690.000000,680.000000,690.000000,400.458313,7957500
2003-12-23,690.000000,690.000000,685.000000,685.000000,397.556427,3205000
2003-12-24,685.000000,685.000000,685.000000,685.000000,397.556427,0
2003-12-25,685.000000,685.000000,685.000000,685.000000,397.556427,0
2003-12-26,685.000000,685.000000,685.000000,685.000000,397.556427,0
2003-12-29,690.000000,735.000000,690.000000,735.000000,426.575012,52275000
2003-12-30,740.000000,755.000000,725.000000,725.000000,420.771423,41247500
2003-12-31,725.000000,725.000000,725.000000,725.000000,420.771423,0
2004-01-01,725.000000,725.000000,725.000000,725.000000,420.771423,0
2004-01-02,700.000000,720.000000,700.000000,715.000000,414.967560,6170000
2004-01-05,725.000000,725.000000,715.000000,715.000000,414.967560,4175000
2004-01-06,720.000000,725.000000,715.000000,715.000000,414.967560,12107500
2004-01-07,715.000000,715.000000,705.000000,705.000000,409.163940,9315000
2004-01-08,710.000000,730.000000,710.000000,715.000000,414.967560,13320000
2004-01-09,725.000000,750.000000,720.000000,735.000000,426.575012,23690000
2004-01-12,730.000000,730.000000,725.000000,725.000000,420.771423,1555000
2004-01-13,720.000000,725.000000,715.000000,715.000000,414.967560,3390000
2004-01-14,720.000000,730.000000,720.000000,730.000000,423.673340,4420000
2004-01-15,740.000000,755.000000,740.000000,750.000000,435.280823,22942500
2004-01-16,750.000000,775.000000,750.000000,775.000000,449.790070,20105000
